trial_order,trial_type,participant,word,modality,answer,correction,sessionID,exp_part,dyad,pcnID
4,target,0,vis,gebaren,vis,0,10_2,2,10,1
5,target,0,hoog,gebaren,groot,0,10_2,2,10,1
6,target,0,hoog,gebaren,rijken,1,10_2,2,10,1
7,target,0,hoog,gebaren,hoog,2,10_2,2,10,1
8,target,0,regen,gebaren,regen,0,10_2,2,10,1
9,target,0,verdrietig,gebaren,huilen,0,10_2,2,10,1
10,target,0,verdrietig,gebaren,verdrietig,1,10_2,2,10,1
11,target,0,langzaam,gebaren,slowmotion,0,10_2,2,10,1
12,target,0,langzaam,gebaren,joggen,1,10_2,2,10,1
13,target,0,langzaam,gebaren,langsaam,2,10_2,2,10,1
14,target,0,weten,gebaren,denken,0,10_2,2,10,1
15,target,0,weten,gebaren,idee,1,10_2,2,10,1
16,target,0,weten,gebaren,bedenken,2,10_2,2,10,1
17,target,0,rennen,gebaren,rennen,0,10_2,2,10,1
18,practice,1,vliegtuig,gebaren,vliegtuig,0,10_2,2,10,2
19,practice,1,bal,gebaren,gooien,0,10_2,2,10,2
20,practice,1,bal,gebaren,werpen,1,10_2,2,10,2
21,practice,1,bal,gebaren,bal,2,10_2,2,10,2
22,target,1,zwaar,gebaren,zwanger,0,10_2,2,10,2
23,target,1,zwaar,gebaren,dik,1,10_2,2,10,2
24,target,1,zwaar,gebaren,zwaar,2,10_2,2,10,2
25,target,1,niet,gebaren,kruis,0,10_2,2,10,2
26,target,1,niet,gebaren,verboden,1,10_2,2,10,2
27,target,1,niet,gebaren,luisteren ,2,10_2,2,10,2
28,target,1,bang,gebaren,schrikken,0,10_2,2,10,2
29,target,1,bang,gebaren,bang,1,10_2,2,10,2
30,target,1,stil,gebaren,stil,0,10_2,2,10,2
31,target,1,staart,gebaren,pruik,0,10_2,2,10,2
32,target,1,staart,gebaren,bruid,1,10_2,2,10,2
33,target,1,staart,gebaren,staart,2,10_2,2,10,2
34,target,1,vallen,gebaren,wegduwen,0,10_2,2,10,2
35,target,1,vallen,gebaren,vallen,1,10_2,2,10,2
36,target,1,likken,gebaren,likken,0,10_2,2,10,2
37,practice,0,eend,combinatie,eend,0,10_2,2,10,1
38,practice,0,zingen,combinatie,zingen,0,10_2,2,10,1
39,target,0,ik,combinatie,vrouw,0,10_2,2,10,1
40,target,0,ik,combinatie,ik,1,10_2,2,10,1
41,target,0,bliksem,combinatie,bliksem,0,10_2,2,10,1
42,target,0,klein,combinatie,klein,0,10_2,2,10,1
43,target,0,slaan,combinatie,slaan,0,10_2,2,10,1
44,target,0,slapen,combinatie,slapen,0,10_2,2,10,1
45,target,0,zuigen,combinatie,sabbelen,0,10_2,2,10,1
46,target,0,zuigen,combinatie,zuigen,1,10_2,2,10,1
47,target,0,kotsen,combinatie,overgeven,0,10_2,2,10,1
48,target,0,kotsen,combinatie,kotsen,1,10_2,2,10,1
49,practice,1,klok,combinatie,klok,0,10_2,2,10,2
50,practice,1,geheim,combinatie,geheim,0,10_2,2,10,2
51,target,1,boos,combinatie,boos,0,10_2,2,10,2
52,target,1,walgen,combinatie,walgen,0,10_2,2,10,2
53,target,1,goed,combinatie,goed,0,10_2,2,10,2
54,target,1,luidruchtig,combinatie,druk,0,10_2,2,10,2
55,target,1,luidruchtig,combinatie,schreeuwen,1,10_2,2,10,2
56,target,1,luidruchtig,combinatie,babbelen,2,10_2,2,10,2
57,target,1,man,combinatie,baas,0,10_2,2,10,2
58,target,1,man,combinatie,bodybuilder,1,10_2,2,10,2
59,target,1,man,combinatie,fransman,2,10_2,2,10,2
60,target,1,bijten,combinatie,bijten,0,10_2,2,10,2
61,target,1,lachen,combinatie,lachen,0,10_2,2,10,2
62,practice,0,telefoon,geluiden,fiets,0,10_2,2,10,1
63,practice,0,telefoon,geluiden,telefoon,1,10_2,2,10,1
64,practice,0,fiets,geluiden,bel,0,10_2,2,10,1
65,practice,0,fiets,geluiden,fiets,1,10_2,2,10,1
66,target,0,vogel,geluiden,vogel,0,10_2,2,10,1
67,target,0,vlieg,geluiden,bij,0,10_2,2,10,1
68,target,0,vlieg,geluiden,scheren,1,10_2,2,10,1
69,target,0,vlieg,geluiden,bloem,2,10_2,2,10,1
70,target,0,misschien,geluiden,twijfelen,0,10_2,2,10,1
71,target,0,misschien,geluiden,denken,1,10_2,2,10,1
72,target,0,misschien,geluiden,goed,2,10_2,2,10,1
73,target,0,scherp,geluiden,spuiten,0,10_2,2,10,1
74,target,0,scherp,geluiden,verbranden,1,10_2,2,10,1
75,target,0,scherp,geluiden,heet,2,10_2,2,10,1
76,target,0,zuur,geluiden,vies,0,10_2,2,10,1
77,target,0,zuur,geluiden,eten,1,10_2,2,10,1
78,target,0,zuur,geluiden,smerig,2,10_2,2,10,1
79,target,0,jagen,geluiden,boxen,0,10_2,2,10,1
80,target,0,jagen,geluiden,ontploffen,1,10_2,2,10,1
81,target,0,jagen,geluiden,spanning,2,10_2,2,10,1
82,target,0,springen,geluiden,piano,0,10_2,2,10,1
83,target,0,springen,geluiden,scannen,1,10_2,2,10,1
84,target,0,springen,geluiden,gitaar,2,10_2,2,10,1
85,practice,1,glimlach,geluiden,giechelen,0,10_2,2,10,2
86,practice,1,glimlach,geluiden,catcallen,1,10_2,2,10,2
87,practice,1,glimlach,geluiden,begroeten,2,10_2,2,10,2
88,practice,1,sneeuw,geluiden,omweer,0,10_2,2,10,2
89,practice,1,sneeuw,geluiden,regen,1,10_2,2,10,2
90,practice,1,sneeuw,geluiden,winter,2,10_2,2,10,2
91,target,1,berg,geluiden,leeglopen,0,10_2,2,10,2
92,target,1,berg,geluiden,zuchten,1,10_2,2,10,2
93,target,1,berg,geluiden,ontladen,2,10_2,2,10,2
94,target,1,blazen,geluiden,blazen,0,10_2,2,10,2
95,target,1,vechten,geluiden,boksen,0,10_2,2,10,2
96,target,1,vechten,geluiden,vechten,1,10_2,2,10,2
97,target,1,geven,geluiden,nadenken,0,10_2,2,10,2
98,target,1,geven,geluiden,weten,1,10_2,2,10,2
99,target,1,geven,geluiden,begrijpen,2,10_2,2,10,2
100,target,1,grommen,geluiden,tijger,0,10_2,2,10,2
101,target,1,grommen,geluiden,leeuw,1,10_2,2,10,2
102,target,1,grommen,geluiden,grommen,2,10_2,2,10,2
103,target,1,lopen,geluiden,wandelen ,0,10_2,2,10,2
104,target,1,lopen,geluiden,tikken,1,10_2,2,10,2
105,target,1,fluisteren,geluiden,fluisteren,0,10_2,2,10,2
1,practice,0,rijk,combinatie,geld,0,11_1,1,11,3
2,practice,0,leeg,combinatie,honger,0,11_1,1,11,3
3,target,0,hond,combinatie,hond,0,11_1,1,11,3
4,target,0,hoorn,combinatie,geluid,0,11_1,1,11,3
5,target,0,geur,combinatie,ruiken,0,11_1,1,11,3
6,target,0,oud,combinatie,bejaarde,0,11_1,1,11,3
7,target,0,kruipen,combinatie,baby,0,11_1,1,11,3
8,target,0,drinken,combinatie,drinken,0,11_1,1,11,3
9,target,0,water,combinatie,water,0,11_1,1,11,3
10,practice,1,knippen,combinatie,knippen,0,11_1,1,11,4
11,practice,1,comfortabel,combinatie,moe,0,11_1,1,11,4
12,target,1,bitter,combinatie,zuur,0,11_1,1,11,4
13,target,1,kat,combinatie,kat,0,11_1,1,11,4
14,target,1,klein,combinatie,krimpen,0,11_1,1,11,4
15,target,1,sterk,combinatie,sterk,0,11_1,1,11,4
16,target,1,blazen,combinatie,blazen,0,11_1,1,11,4
17,target,1,slaan,combinatie,highfive,0,11_1,1,11,4
18,target,1,weten,combinatie,idee,0,11_1,1,11,4
19,practice,0,gek,gebaren,gek,0,11_1,1,11,3
20,practice,0,olifant,gebaren,olifant,0,11_1,1,11,3
21,target,0,boos,gebaren,juichen,0,11_1,1,11,3
22,target,0,zwaar,gebaren,wanhoop,0,11_1,1,11,3
23,target,0,regen,gebaren,douchen,0,11_1,1,11,3
24,target,0,zoet,gebaren,eten,0,11_1,1,11,3
25,target,0,vallen,gebaren,vallen,0,11_1,1,11,3
26,target,0,lachen,gebaren,lachen,0,11_1,1,11,3
27,target,0,fluisteren,gebaren,fluisteren,0,11_1,1,11,3
28,practice,1,auto,gebaren,autorijden,0,11_1,1,11,4
29,practice,1,koken,gebaren,koken,0,11_1,1,11,4
30,target,1,koud,gebaren,koud,0,11_1,1,11,4
31,target,1,bliksem,gebaren,bliksem,0,11_1,1,11,4
32,target,1,piepen,gebaren,praten,0,11_1,1,11,4
33,target,1,bijten,gebaren,bijten,0,11_1,1,11,4
34,target,1,likken,gebaren,likken,0,11_1,1,11,4
35,target,1,kotsen,gebaren,overgeven,0,11_1,1,11,4
36,target,1,lopen,gebaren,lopen,0,11_1,1,11,4
37,practice,0,haasten,geluiden,blazen,0,11_1,1,11,3
38,practice,0,dansen,geluiden,zingen,0,11_1,1,11,3
39,target,0,snel,geluiden,wind,0,11_1,1,11,3
40,target,0,ziek,geluiden,hoesten,0,11_1,1,11,3
41,target,0,slang,geluiden,slang,0,11_1,1,11,3
42,target,0,zuur,geluiden,hijgen,0,11_1,1,11,3
43,target,0,onweer,geluiden,ontploffing,0,11_1,1,11,3
44,target,0,ademen,geluiden,hijgen,0,11_1,1,11,3
45,target,0,verbranden,geluiden,fluiten,0,11_1,1,11,3
46,practice,1,snijden,geluiden,hakken,0,11_1,1,11,4
47,practice,1,bloem,geluiden,lekker,0,11_1,1,11,4
48,target,1,walgen,geluiden,vies,0,11_1,1,11,4
49,target,1,vrouw,geluiden,nieuwsgierig,0,11_1,1,11,4
50,target,1,heet,geluiden,zwaar,0,11_1,1,11,4
51,target,1,niet,geluiden,teleurstelling,0,11_1,1,11,4
52,target,1,zout,geluiden,leuk,0,11_1,1,11,4
53,target,1,huilen,geluiden,huilen,0,11_1,1,11,4
54,target,1,horen,geluiden,begrijpen,0,11_1,1,11,4
1,practice,0,fiets,geluiden,rijden,0,11_2,2,11,3
2,practice,0,fiets,geluiden,fiets,1,11_2,2,11,3
3,practice,0,klok,geluiden,klok,0,11_2,2,11,3
4,target,0,ei,geluiden,ballon,0,11_2,2,11,3
5,target,0,ei,geluiden,uil,1,11_2,2,11,3
6,target,0,ei,geluiden,koekoeksklok,2,11_2,2,11,3
7,target,0,goed,geluiden,genieten,0,11_2,2,11,3
8,target,0,goed,geluiden,tevreden,1,11_2,2,11,3
9,target,0,goed,geluiden,lekker,2,11_2,2,11,3
10,target,0,blij,geluiden,giechelen,0,11_2,2,11,3
11,target,0,blij,geluiden,verrassing,1,11_2,2,11,3
12,target,0,blij,geluiden,trots,2,11_2,2,11,3
13,target,0,man,geluiden,motor,0,11_2,2,11,3
14,target,0,man,geluiden,boos,1,11_2,2,11,3
15,target,0,man,geluiden,man,2,11_2,2,11,3
16,target,0,verdrietig,geluiden,huilen,0,11_2,2,11,3
17,target,0,verdrietig,geluiden,sniffen,1,11_2,2,11,3
18,target,0,verdrietig,geluiden,verdrietig,2,11_2,2,11,3
19,target,0,rennen,geluiden,rennen,0,11_2,2,11,3
20,target,0,gooien,geluiden,gooien,0,11_2,2,11,3
21,practice,1,eend,geluiden,eend,0,11_2,2,11,4
22,practice,1,sneeuw,geluiden,zee,0,11_2,2,11,4
23,practice,1,sneeuw,geluiden,blazen,1,11_2,2,11,4
24,practice,1,sneeuw,geluiden,regen,2,11_2,2,11,4
25,target,1,groot,geluiden,oneens,0,11_2,2,11,4
26,target,1,groot,geluiden,goed,1,11_2,2,11,4
27,target,1,groot,geluiden,twijfelen,2,11_2,2,11,4
28,target,1,vogel,geluiden,vogel,0,11_2,2,11,4
29,target,1,zoemen,geluiden,bij,0,11_2,2,11,4
30,target,1,zoemen,geluiden,mug,1,11_2,2,11,4
31,target,1,zoemen,geluiden,wesp,2,11_2,2,11,4
32,target,1,vuur,geluiden,stikken,0,11_2,2,11,4
33,target,1,vuur,geluiden,regen,1,11_2,2,11,4
34,target,1,vuur,geluiden,vallen,2,11_2,2,11,4
35,target,1,hoog,geluiden,huilen,0,11_2,2,11,4
36,target,1,hoog,geluiden,onbegrip,1,11_2,2,11,4
37,target,1,hoog,geluiden,verdriet,2,11_2,2,11,4
38,target,1,vangen,geluiden,slaan,0,11_2,2,11,4
39,target,1,vangen,geluiden,tillen,1,11_2,2,11,4
40,target,1,vangen,geluiden,zweven,2,11_2,2,11,4
41,target,1,eten,geluiden,eten,0,11_2,2,11,4
42,practice,0,geheim,combinatie,roddelen,0,11_2,2,11,3
43,practice,0,geheim,combinatie,geheim,1,11_2,2,11,3
44,practice,0,telefoon,combinatie,telefoon,0,11_2,2,11,3
45,target,0,scherp,combinatie,snee,0,11_2,2,11,3
46,target,0,scherp,combinatie,snijden,1,11_2,2,11,3
47,target,0,scherp,combinatie,scherp,2,11_2,2,11,3
48,target,0,staart,combinatie,scheet,0,11_2,2,11,3
49,target,0,staart,combinatie,staart,1,11_2,2,11,3
50,target,0,vliegen,combinatie,vliegen,0,11_2,2,11,3
51,target,0,jagen,combinatie,jagen,0,11_2,2,11,3
52,target,0,slapen,combinatie,slapen,0,11_2,2,11,3
53,target,0,zuigen,combinatie,slurpen,0,11_2,2,11,3
54,target,0,zuigen,combinatie,zuigen,1,11_2,2,11,3
55,target,0,wind,combinatie,wind,0,11_2,2,11,3
56,practice,1,glimlach,combinatie,lachen,0,11_2,2,11,4
57,practice,1,glimlach,combinatie,blij,1,11_2,2,11,4
58,practice,1,glimlach,combinatie,glimlach,2,11_2,2,11,4
59,practice,1,juichen,combinatie,vieren,0,11_2,2,11,4
60,practice,1,juichen,combinatie,aanmoedigen,1,11_2,2,11,4
61,practice,1,juichen,combinatie,dansen,2,11_2,2,11,4
62,target,1,luidruchtig,combinatie,schreeuwen,0,11_2,2,11,4
63,target,1,luidruchtig,combinatie,roepen,1,11_2,2,11,4
64,target,1,luidruchtig,combinatie,aanvallen,2,11_2,2,11,4
65,target,1,berg,combinatie,klimmen,0,11_2,2,11,4
66,target,1,berg,combinatie,bergwandeling,1,11_2,2,11,4
67,target,1,berg,combinatie,berg,2,11_2,2,11,4
68,target,1,dik,combinatie,dik,0,11_2,2,11,4
69,target,1,vechten,combinatie,vechten,0,11_2,2,11,4
70,target,1,geven,combinatie,geven,0,11_2,2,11,4
71,target,1,ruiken,combinatie,ruiken,0,11_2,2,11,4
72,target,1,staan,combinatie,tevreden,0,11_2,2,11,4
73,target,1,staan,combinatie,staan,1,11_2,2,11,4
74,practice,0,zingen,gebaren,zingen,0,11_2,2,11,3
75,practice,0,zwaaien,gebaren,zwaaien,0,11_2,2,11,3
76,target,0,kind,gebaren,dansen,0,11_2,2,11,3
77,target,0,kind,gebaren,baby,1,11_2,2,11,3
78,target,0,kind,gebaren,kind,2,11_2,2,11,3
79,target,0,misschien,gebaren,twijfelen,0,11_2,2,11,3
80,target,0,misschien,gebaren,besluiteloos,1,11_2,2,11,3
81,target,0,misschien,gebaren,matig,2,11_2,2,11,3
82,target,0,bang,gebaren,schrikken,0,11_2,2,11,3
83,target,0,bang,gebaren,terugdeinzen,1,11_2,2,11,3
84,target,0,bang,gebaren,bang,2,11_2,2,11,3
85,target,0,stil,gebaren,stil,0,11_2,2,11,3
86,target,0,kauwen,gebaren,kaak,0,11_2,2,11,3
87,target,0,kauwen,gebaren,praten,1,11_2,2,11,3
88,target,0,kauwen,gebaren,kauwen,2,11_2,2,11,3
89,target,0,grommen,gebaren,leeuw,0,11_2,2,11,3
90,target,0,grommen,gebaren,tanden,1,11_2,2,11,3
91,target,0,grommen,gebaren,vampier,2,11_2,2,11,3
92,target,0,zwemmen,gebaren,zwemmen,0,11_2,2,11,3
93,practice,1,bal,gebaren,gooien,0,11_2,2,11,4
94,practice,1,bal,gebaren,handbal,1,11_2,2,11,4
95,practice,1,bal,gebaren,bal,2,11_2,2,11,4
96,practice,1,vliegtuig,gebaren,zweven,0,11_2,2,11,4
97,practice,1,vliegtuig,gebaren,zweefvliegtuig,1,11_2,2,11,4
98,practice,1,vliegtuig,gebaren,vliegen,2,11_2,2,11,4
99,target,1,ik,gebaren,hoofd,0,11_2,2,11,4
100,target,1,ik,gebaren,persoonlijkheid,1,11_2,2,11,4
101,target,1,ik,gebaren,ikzelf,2,11_2,2,11,4
102,target,1,dood,gebaren,dood,0,11_2,2,11,4
103,target,1,ver,gebaren,kijken,0,11_2,2,11,4
104,target,1,ver,gebaren,ver weg,1,11_2,2,11,4
105,target,1,vis,gebaren,vis,0,11_2,2,11,4
106,target,1,vlieg,gebaren,sprinkelen,0,11_2,2,11,4
107,target,1,vlieg,gebaren,zweven,1,11_2,2,11,4
108,target,1,vlieg,gebaren,vogeltje,2,11_2,2,11,4
109,target,1,langzaam,gebaren,traag,0,11_2,2,11,4
110,target,1,springen,gebaren,dansen,0,11_2,2,11,4
111,target,1,springen,gebaren,springen,1,11_2,2,11,4
1,practice,0,knippen,gebaren,schaar,0,12_1,1,12,5
2,practice,0,comfortabel,gebaren,knuffel,0,12_1,1,12,5
3,target,0,ik,gebaren,ik,0,12_1,1,12,5
4,target,0,dood,gebaren,dood,0,12_1,1,12,5
5,target,0,snel,gebaren,rennen,0,12_1,1,12,5
6,target,0,misschien,gebaren,twijfelen,0,12_1,1,12,5
7,target,0,eten,gebaren,eten,0,12_1,1,12,5
8,target,0,lachen,gebaren,lachen,0,12_1,1,12,5
9,target,0,zwemmen,gebaren,zwemmen,0,12_1,1,12,5
10,practice,1,koken,gebaren,roeren,0,12_1,1,12,6
11,practice,1,bloem,gebaren,groeien,0,12_1,1,12,6
12,target,1,hond,gebaren,blaffen,0,12_1,1,12,6
13,target,1,ver,gebaren,wijzen,0,12_1,1,12,6
14,target,1,scherp,gebaren,verbranden,0,12_1,1,12,6
15,target,1,vliegen,gebaren,vliegen,0,12_1,1,12,6
16,target,1,rennen,gebaren,rennen,0,12_1,1,12,6
17,target,1,ruiken,gebaren,ruiken,0,12_1,1,12,6
18,target,1,fluisteren,gebaren,fluisteren,0,12_1,1,12,6
19,practice,0,auto,geluiden,motor,0,12_1,1,12,5
20,practice,0,rijk,geluiden,geld,0,12_1,1,12,5
21,target,0,kat,geluiden,kat,0,12_1,1,12,5
22,target,0,goed,geluiden,uil,0,12_1,1,12,5
23,target,0,zwaar,geluiden,paard,0,12_1,1,12,5
24,target,0,langzaam,geluiden,wind,0,12_1,1,12,5
25,target,0,blazen,geluiden,zucht,0,12_1,1,12,5
26,target,0,huilen,geluiden,huilen,0,12_1,1,12,5
27,target,0,water,geluiden,vliegtuig,0,12_1,1,12,5
28,practice,1,haasten,geluiden,hijgen,0,12_1,1,12,6
29,practice,1,leeg,geluiden,twijfelen,0,12_1,1,12,6
30,target,1,kind,geluiden,huilen,0,12_1,1,12,6
31,target,1,berg,geluiden,piano,0,12_1,1,12,6
32,target,1,klein,geluiden,,0,12_1,1,12,6
33,target,1,piepen,geluiden,alarm,0,12_1,1,12,6
34,target,1,sterk,geluiden,leeuw,0,12_1,1,12,6
35,target,1,ademen,geluiden,buiten adem,0,12_1,1,12,6
36,target,1,lopen,geluiden,blazen,0,12_1,1,12,6
37,practice,0,olifant,combinatie,olifant,0,12_1,1,12,5
38,practice,0,snijden,combinatie,snijden,0,12_1,1,12,5
39,target,0,vogel,combinatie,vogel,0,12_1,1,12,5
40,target,0,koud,combinatie,koud,0,12_1,1,12,5
41,target,0,heet,combinatie,warm,0,12_1,1,12,5
42,target,0,man,combinatie,groot,0,12_1,1,12,5
43,target,0,slang,combinatie,slang,0,12_1,1,12,5
44,target,0,bijten,combinatie,boterham,0,12_1,1,12,5
45,target,0,vallen,combinatie,pijn,0,12_1,1,12,5
46,practice,1,gek,combinatie,raar,0,12_1,1,12,6
47,practice,1,dansen,combinatie,dansen,0,12_1,1,12,6
48,target,1,bliksem,combinatie,onweer,0,12_1,1,12,6
49,target,1,niet,combinatie,nee,0,12_1,1,12,6
50,target,1,horen,combinatie,luisteren,0,12_1,1,12,6
51,target,1,likken,combinatie,likken,0,12_1,1,12,6
52,target,1,slapen,combinatie,slapen,0,12_1,1,12,6
53,target,1,gooien,combinatie,gooien,0,12_1,1,12,6
54,target,1,wind,combinatie,wind,0,12_1,1,12,6
1,practice,0,geheim,gebaren,fluisteren,0,12_2,2,12,5
2,practice,0,geheim,gebaren,geheim,1,12_2,2,12,5
3,practice,0,eend,gebaren,libelle,0,12_2,2,12,5
4,practice,0,eend,gebaren,eend,1,12_2,2,12,5
5,target,0,bitter,gebaren,vies,0,12_2,2,12,5
6,target,0,bitter,gebaren,proeven,1,12_2,2,12,5
7,target,0,ei,gebaren,walnoot,0,12_2,2,12,5
8,target,0,ei,gebaren,specht,1,12_2,2,12,5
9,target,0,ei,gebaren,gevogelte,2,12_2,2,12,5
10,target,0,vis,gebaren,vis,0,12_2,2,12,5
11,target,0,dik,gebaren,groot,0,12_2,2,12,5
12,target,0,dik,gebaren,dik,1,12_2,2,12,5
13,target,0,onweer,gebaren,vuurwerk,0,12_2,2,12,5
14,target,0,onweer,gebaren,onweer,1,12_2,2,12,5
15,target,0,kauwen,gebaren,lekker,0,12_2,2,12,5
16,target,0,kauwen,gebaren,kauwen,1,12_2,2,12,5
17,target,0,geven,gebaren,betalen,0,12_2,2,12,5
18,target,0,geven,gebaren,pasje,1,12_2,2,12,5
19,target,0,geven,gebaren,geven,2,12_2,2,12,5
20,practice,1,bal,gebaren,gooien,0,12_2,2,12,6
21,practice,1,bal,gebaren,bal,1,12_2,2,12,6
22,practice,1,klok,gebaren,klok,0,12_2,2,12,6
23,target,1,boos,gebaren,boos,0,12_2,2,12,6
24,target,1,hoog,gebaren,klimmen,0,12_2,2,12,6
25,target,1,hoog,gebaren,omhoog,1,12_2,2,12,6
26,target,1,hoog,gebaren,boven,2,12_2,2,12,6
27,target,1,bang,gebaren,koud,0,12_2,2,12,6
28,target,1,bang,gebaren,bang,1,12_2,2,12,6
29,target,1,zoet,gebaren,lekker,0,12_2,2,12,6
30,target,1,zoet,gebaren,smakelijk,1,12_2,2,12,6
31,target,1,zoet,gebaren,smaak,2,12_2,2,12,6
32,target,1,staart,gebaren,draaien,0,12_2,2,12,6
33,target,1,staart,gebaren,kwispelen,1,12_2,2,12,6
34,target,1,staart,gebaren,wapperen,2,12_2,2,12,6
35,target,1,verbranden,gebaren,aansteken,0,12_2,2,12,6
36,target,1,verbranden,gebaren,vuur,1,12_2,2,12,6
37,target,1,verbranden,gebaren,rook,2,12_2,2,12,6
38,target,1,staan,gebaren,plassen,0,12_2,2,12,6
39,target,1,staan,gebaren,nu,1,12_2,2,12,6
40,target,1,staan,gebaren,staan,2,12_2,2,12,6
41,practice,0,sneeuw,geluiden,wind,0,12_2,2,12,5
42,practice,0,sneeuw,geluiden,wandelen,1,12_2,2,12,5
43,practice,0,sneeuw,geluiden,ik weet het niet,2,12_2,2,12,5
44,practice,0,fiets,geluiden,fiets,0,12_2,2,12,5
45,target,0,vrouw,geluiden,wandelen,0,12_2,2,12,5
46,target,0,vrouw,geluiden,schoonmake,1,12_2,2,12,5
47,target,0,vrouw,geluiden,dansen,2,12_2,2,12,5
48,target,0,geur,geluiden,ruiken,0,12_2,2,12,5
49,target,0,geur,geluiden,verkouden,1,12_2,2,12,5
50,target,0,geur,geluiden,blij,2,12_2,2,12,5
51,target,0,zuur,geluiden,lekker,0,12_2,2,12,5
52,target,0,zuur,geluiden,bang,1,12_2,2,12,5
53,target,0,zuur,geluiden,vies,2,12_2,2,12,5
54,target,0,drinken,geluiden,drinken,0,12_2,2,12,5
55,target,0,slaan,geluiden,slaan,0,12_2,2,12,5
56,target,0,jagen,geluiden,schieten,0,12_2,2,12,5
57,target,0,jagen,geluiden,vuurwerk,1,12_2,2,12,5
58,target,0,jagen,geluiden,ontploffen,2,12_2,2,12,5
59,target,0,weten,geluiden,begrijpen,0,12_2,2,12,5
60,target,0,weten,geluiden,leren,1,12_2,2,12,5
61,target,0,weten,geluiden,vinden,2,12_2,2,12,5
62,practice,1,glimlach,geluiden,gieberen,0,12_2,2,12,6
63,practice,1,glimlach,geluiden,twijfelen,1,12_2,2,12,6
64,practice,1,glimlach,geluiden,onzeker,2,12_2,2,12,6
65,practice,1,zingen,geluiden,zingen,0,12_2,2,12,6
66,target,1,walgen,geluiden,vies,0,12_2,2,12,6
